PancreasSection,ROILabel,Segment Label,AOI Nuclei INS Count,ROICoordinateX (pixels),ROICoordinateY (pixels),ROICoordinateX (µm),ROICoordinateY (µm),Main Pancreatic Duct X (µm),Main Pancreatic Duct Y (µm),Distance from Main Duct (µm)
P1-14A,1,INS-,N/A,21733,26084,8688.9,10404.9,8875.8,9923.9,516
P1-14A,2,INS-,N/A,17167,6149,6863.4,2452.8,8875.8,9923.9,7737
P1-14A,3,INS-,N/A,19127,8098,7647,3230.3,8875.8,9923.9,6805
P1-14A,4,INS-,N/A,13780,13536,5509.2,5399.5,8875.8,9923.9,5639
P1-14A,5,INS-,N/A,25058,11241,10018.2,4484,8875.8,9923.9,5559
P1-14A,6,INS-,N/A,31639,15283,12649.3,6096.4,8875.8,9923.9,5375
P1-14A,7,INS-,N/A,41804,20528,16713.2,8188.6,8875.8,9923.9,8027
P1-14A,8,INS-,N/A,33846,11385,13531.6,4541.5,8875.8,9923.9,7117
P1-14A,9,INS-,N/A,25445,38473,10172.9,15346.9,8875.8,9923.9,5576
P1-14A,10,INS-,N/A,28539,44216,11409.9,17637.8,8875.8,9923.9,8119
P1-14A,11,INS-,N/A,32270.7,20702.1,12901.8,8258.1,8875.8,9923.9,4357
P1-14A,12,INS-,N/A,36998.6,10902.4,14792.1,4349,8875.8,9923.9,8129
P1-14A,13,INS-,N/A,26692.5,16805.1,10671.7,6703.5,8875.8,9923.9,3687
P1-14A,14,INS-,N/A,17856.6,8325.4,7139.1,3321,8875.8,9923.9,6827
P1-9,1,INS-,N/A,9140,40493,3654.2,16152.7,10270.1,24512.7,10661
P1-9,2,INS-,N/A,19374,60621,7745.7,24181.7,10270.1,24512.7,2546
P1-9,3,INS-,N/A,38563,60015,15417.5,23940,10270.1,24512.7,5179
P1-9,4,INS-,N/A,33312,63439,13318.1,25305.8,10270.1,24512.7,3150
P1-9,5,INS-,N/A,27740,82064,11090.5,32735.3,10270.1,24512.7,8263
P1-9,6,INS-,N/A,23731,68987,9487.7,27518.9,10270.1,24512.7,3106
P1-9,7,INS-,N/A,22797,37495,9114.2,14956.8,10270.1,24512.7,9626
P1-9,8,INS-,N/A,23629,47624,9446.9,18997.2,10270.1,24512.7,5577
P1-9,9,INS-,N/A,10898,48473,4357,19335.9,10270.1,24512.7,7859
P1-9,10,INS-,N/A,9588,44145,3833.3,17609.4,10270.1,24512.7,9439
P1-9,11,INS-,N/A,34739,64765,13888.7,25834.8,10270.1,24512.7,3853
P1-9,12,INS-,N/A,14117,54310,5644,21664.3,10270.1,24512.7,5433
P1-9,13,INS-,N/A,35270,50058,14100.9,19968.1,10270.1,24512.7,5944
P1-9,14,INS-,N/A,21855,35938,8737.6,14335.7,10270.1,24512.7,10292
P1-21,1,INS-,N/A,11380,48978,4549.7,19537.3,8215.6,15993.7,5099
P1-21,2,INS-,N/A,26083,68940,10428,27500.2,8215.6,15993.7,11717
P1-21,3,INS-,N/A,35549,38299,14212.5,15277.5,8215.6,15993.7,6040
P1-21,4,INS-,N/A,32160,56631,12857.6,22590.1,8215.6,15993.7,8066
P1-21,5,INS-,N/A,30102,42367,12034.8,16900.2,8215.6,15993.7,3925
P1-21,6,INS-,N/A,20554,23457,8217.5,9357,8215.6,15993.7,6637
P1-21,7,INS-,N/A,31956,22353,12776,8916.6,8215.6,15993.7,8419
P1-21,8,INS-,N/A,22673,16217,9064.7,6469,8215.6,15993.7,9563
P1-21,9,INS-,N/A,40553,23715,16213.1,9459.9,8215.6,15993.7,10327
P1-21,10,INS-,N/A,29607,70399,11836.9,28082.2,8215.6,15993.7,12619
P1-21,11,INS-,N/A,7839.9,30862,3134.4,12310.8,8215.6,15993.7,6276
P1-21,12,INS-,N/A,39784,34488,15905.6,13757.3,8215.6,15993.7,8009
P1-21,13,INS-,N/A,17537,17481,7011.3,6973.2,8215.6,15993.7,9101
P1-21,14,INS-,N/A,38543,18317,15409.5,7306.7,8215.6,15993.7,11279
P1-4A,1,INS-,N/A,23059,28420,9219,11336.7,9217.6,14376.4,3040
P1-4A,2,INS-,N/A,21206,26979,8478.2,10761.9,9217.6,14376.4,3689
P1-4A,3,INS-,N/A,35276,40178,14103.3,16027,9217.6,14376.4,5157
P1-4A,4,INS-,N/A,15910,50397,6360.8,20103.4,9217.6,14376.4,6400
P1-4A,5,INS-,N/A,34333,44464,13726.3,17736.7,9217.6,14376.4,5623
P1-4A,6,INS-,N/A,32647,34891,13052.3,13918,9217.6,14376.4,3862
P1-4A,7,INS-,N/A,32434,45449,12967.1,18129.6,9217.6,14376.4,5305
P1-4A,8,INS-,N/A,35815.1,22928.4,14318.9,9146.1,9217.6,14376.4,7306
P1-4A,9,INS-,N/A,32205,23249,12875.6,9274,9217.6,14376.4,6278
P1-4A,10,INS-,N/A,31593,29977,12630.9,11957.8,9217.6,14376.4,4183
P1-4A,11,INS-,N/A,22680,23055,9067.5,9196.6,9217.6,14376.4,5182
P2-13,1,INS+,98,14907.1,58330.6,5959.9,23268.1,11886,19743.9,6895
P2-13,2,INS+,148,32527.4,61148.9,13004.5,24392.3,11886,19743.9,4781
P2-13,3,INS+,200,18814.5,44505.1,7522,17753.1,11886,19743.9,4797
P2-13,4,INS+,86,23343.8,66516.5,9332.9,26533.4,11886,19743.9,7254
P2-13,5,INS+,122,10741.9,45539.2,4294.6,18165.6,11886,19743.9,7754
P2-13,6,INS+,145,9012.2,62997.7,3603.1,25129.8,11886,19743.9,9880
P2-13,7,INS+,92,24038.6,41392.9,9610.6,16511.6,11886,19743.9,3953
P2-13,8,INS+,114,32420.9,31081.6,12961.9,12398.5,11886,19743.9,7424
P2-13,9,INS+,86,32815.8,54096.9,13119.7,21579.3,11886,19743.9,2211
P2-13,10,INS+,161,7365,58319.5,2944.5,23263.7,11886,19743.9,9609
P2-13,11,INS-,N/A,12912.3,49137.5,5162.3,19601,11886,19743.9,6725
P2-13,12,INS-,N/A,23847.3,50594.7,9534.1,20182.2,11886,19743.9,2392
P2-13,13,INS-,N/A,32012.6,33716.2,12798.6,13449.4,11886,19743.9,6360
P2-13,14,INS-,N/A,25490.2,63128.8,10191,25182.1,11886,19743.9,5696
P2-13,15,INS-,N/A,31832.5,43294.1,12726.6,17270,11886,19743.9,2613
P2-13,16,INS-,N/A,35338,23197.8,14128.1,9253.6,11886,19743.9,10727
P2-19A,1,INS+,96,11610,39259.5,4641.7,15660.6,7095.4,17378.4,2995
P2-19A,2,INS+,30,8940.4,39719.5,3574.4,15844.1,7095.4,17378.4,3841
P2-19A,3,INS+,74,20259.2,32231.4,8099.6,12857.1,7095.4,17378.4,4631
P2-19A,4,INS+,38,25682.1,27834.8,10267.7,11103.3,7095.4,17378.4,7031
P2-19A,5,INS+,27,37116.2,46851.8,14839.1,18689.2,7095.4,17378.4,7854
P2-19A,6,INS+,126,40858.2,54097,16335.1,21579.3,7095.4,17378.4,10150
P2-19A,7,INS+,27,13054.7,33686.9,5219.3,13437.7,7095.4,17378.4,4365
P2-19A,8,INS+,33,29303.7,54265.7,11715.6,21646.6,7095.4,17378.4,6290
P2-19A,9,INS+,27,29252.8,32644.3,11695.3,13021.8,7095.4,17378.4,6336
P2-19A,10,INS+,35,23102.5,26856.6,9236.4,10713.1,7095.4,17378.4,7001
P2-19A,11,INS-,N/A,29302,37385.6,11714.9,14913.1,7095.4,17378.4,5236
P2-19A,12,INS-,N/A,36415.3,43689,14558.8,17427.5,7095.4,17378.4,7464
P2-19A,13,INS-,N/A,22130.6,52287.4,8847.8,20857.5,7095.4,17378.4,3895
P2-19A,14,INS-,N/A,12852.6,36393.7,5138.5,14517.4,7095.4,17378.4,3466
P2-19A,15,INS-,N/A,15412.5,30758.7,6161.9,12269.6,7095.4,17378.4,5193
P2-19A,16,INS-,N/A,26887.1,29916.4,10749.5,11933.7,7095.4,17378.4,6557
P2-4AD,1,INS+,96,27803.3,62654.2,11115.8,24992.8,3915.8,23629.1,7328
P2-4AD,2,INS+,113,22416.3,62440.9,8962,24907.7,3915.8,23629.1,5206
P2-4AD,3,INS+,139,16140.7,62850.2,6453,25070.9,3915.8,23629.1,2918
P2-4AD,4,INS+,119,13138.1,61733.7,5252.6,24625.6,3915.8,23629.1,1667
P2-4AD,5,INS+,116,14979.9,58289.9,5989,23251.8,3915.8,23629.1,2107
P2-4AD,14,INS-,N/A,11759.2,52143,4701.3,20799.8,3915.8,23629.1,2936
P2-4AD,15,INS-,N/A,36671.4,54687,14661.2,21814.6,3915.8,23629.1,10898
P2-4AD,16,INS-,N/A,19680.2,54866.4,7868.2,21886.2,3915.8,23629.1,4320
P3-7A,1,INS+,73,,,10274.1,12340.9,6054.5,15961.5,5560
P3-7A,2,INS+,132,,,5975.2,11486.4,6054.5,15961.5,4476
P3-7A,3,INS+,183,,,12268.4,15138.3,6054.5,15961.5,6268
P3-7A,4,INS+,108,,,11776.7,20647.5,6054.5,15961.5,7396
P3-7A,5,INS+,85,,,10515.1,21582.6,6054.5,15961.5,7176
P3-7A,6,INS+,148,,,13317.1,23814.1,6054.5,15961.5,10696
P3-7A,7,INS+,128,,,9843.1,17943.9,6054.5,15961.5,4276
P3-7A,8,INS+,172,,,7192.5,10321.6,6054.5,15961.5,5754
P3-7A,9,INS-,N/A,,,10274.5,12915,6054.5,15961.5,5205
P3-7A,10,INS-,N/A,,,7182.8,13739.4,6054.5,15961.5,2492
P3-7A,11,INS-,N/A,,,13627.4,13552.4,6054.5,15961.5,7947
P3-7A,12,INS-,N/A,,,6630.3,18617.6,6054.5,15961.5,2718
P3-7A,13,INS-,N/A,,,10447.7,14953.2,6054.5,15961.5,4507
P3-3A,1,INS+,132,,,6191.4,9145.9,9463.3,16666.1,8201
P3-3A,2,INS+,90,,,8655.5,7332.4,9463.3,16666.1,9369
P3-3A,3,INS+,80,,,5835.5,13544.4,9463.3,16666.1,4786
P3-3A,4,INS+,172,,,6616.2,14107.9,9463.3,16666.1,3828
P3-3A,5,INS+,77,,,8718.8,20510.6,9463.3,16666.1,3916
P3-3A,6,INS+,113,,,13301.8,17753.6,9463.3,16666.1,3990
P3-3A,7,INS+,149,,,11330.8,19402.9,9463.3,16666.1,3313
P3-3A,8,INS+,121,,,6287.9,21287.1,9463.3,16666.1,5607
P3-3A,9,INS-,N/A,,,7656.7,19837.5,9463.3,16666.1,3650
P3-3A,10,INS-,N/A,,,13787.5,19315,9463.3,16666.1,5071
P3-3A,11,INS-,N/A,,,9679.9,10009.5,9463.3,16666.1,6660
P3-3A,12,INS-,N/A,,,13246.6,10693.1,9463.3,16666.1,7070
P3-3A,13,INS-,N/A,,,6965.3,8889.6,9463.3,16666.1,8168
P3-9A,1,INS+,260,16485.3,44047,6590.8,17570.3,9084.8,9648.8,8305
P3-9A,2,INS+,89,20852.6,47087.1,8336.9,18783,9084.8,9648.8,9165
P3-9A,3,INS+,72,20092.3,40720.2,8032.9,16243.3,9084.8,9648.8,6678
P3-9A,4,INS+,124,15272.2,49212.3,6105.8,19630.8,9084.8,9648.8,10417
P3-9A,5,INS+,208,12686.9,50086.5,5072.2,19979.5,9084.8,9648.8,11083
P3-9A,6,INS+,263,15978.4,42573.4,6388.2,16982.5,9084.8,9648.8,7814
P3-9A,7,INS+,117,16025.9,33304.4,6407.2,13285.1,9084.8,9648.8,4516
P3-9A,8,INS+,105,31611.1,9114.3,12638.1,3635.7,9084.8,9648.8,6985
P3-9A,9,INS-,N/A,27954.3,10080.1,11176.1,4021,9084.8,9648.8,6004
P3-9A,10,INS-,N/A,33057.3,21952.2,13216.3,8756.7,9084.8,9648.8,4227
P3-9A,11,INS-,N/A,9878.5,18843.2,3949.4,7516.5,9084.8,9648.8,5560
P3-9A,12,INS-,N/A,12133.6,9101.7,4851,3630.7,9084.8,9648.8,7358
P3-9A,13,INS-,N/A,38080,7653.9,15224.4,3053.1,9084.8,9648.8,9011
P3-13A,1,INS+,186,18160.3,10081.6,7260.5,4021.5,8142.8,14981.2,10995
P3-13A,2,INS+,72,22419.6,15150.7,8963.3,6043.6,8142.8,14981.2,8975
P3-13A,3,INS+,80,8335.7,39795.1,3332.6,15874.3,8142.8,14981.2,4892
P3-13A,4,INS+,121,26926.9,25325.5,10765.4,10102.3,8142.8,14981.2,5539
P3-13A,5,INS+,131,9765.9,64268.3,3904.4,25636.6,8142.8,14981.2,11467
P3-13A,6,INS+,142,13755.3,61016.1,5499.4,24339.3,8142.8,14981.2,9724
P3-13A,7,INS+,212,24490.9,58085.4,9791.5,23170.3,8142.8,14981.2,8353
P3-13A,8,INS+,174,25457.5,65166.1,10177.9,25994.7,8142.8,14981.2,11200
P3-13A,9,INS-,N/A,16210.8,17095.5,6481.1,6819.4,8142.8,14981.2,8329
P3-13A,10,INS-,N/A,24248.2,19161.1,9694.4,7643.3,8142.8,14981.2,7500
P3-13A,11,INS-,N/A,25602.4,24769.4,10235.8,9880.5,8142.8,14981.2,5513
P3-13A,12,INS-,N/A,11822.3,37785.8,4726.6,15072.7,8142.8,14981.2,3417
P3-13A,13,INS-,N/A,19880.8,64980.7,7948.4,25920.8,8142.8,14981.2,10941
P4-12A,001,INS+,91,13481.39,16212.65,5376.38,6455.88,7939.3,12654.1,6707.2
P4-12A,002,INS+,158,21037.42,23833.02,8389.72,9490.31,7939.3,12654.1,3195.7
P4-12A,003,INS+,92,8595.22,35005.49,3427.77,13939.19,7939.3,12654.1,4691.0
P4-12A,004,INS+,107,33800.03,42514.65,13479.45,16929.33,7939.3,12654.1,6997.9
P4-12A,005,INS+,118,39058.68,51199.53,15576.60,20387.65,7939.3,12654.1,10869.0
P4-12A,006,INS+,127,25277.10,43246.36,10080.51,17220.70,7939.3,12654.1,5043.7
P4-12A,007,INS+,106,29277.59,33895.31,11675.90,13497.11,7939.3,12654.1,3830.5
P4-12A,008,INS+,178,36976.25,27695.00,14746.13,11028.15,7939.3,12654.1,6998.3
P4-22,001,INS+,407,21305.63,49262.27,8496.69,19616.24,11115.6,17700.3,3244.9
P4-22,002,INS+,273,19591.66,41509.06,7813.15,16528.91,11115.6,17700.3,3504.0
P4-22,003,INS+,210,24384.30,28148.11,9724.46,11208.58,11115.6,17700.3,6639.1
P4-22,004,INS+,227,31713.77,21790.59,12647.45,8677.01,11115.6,17700.3,9152.4
P4-22,005,INS+,188,40794.61,30203.04,16268.89,12026.85,11115.6,17700.3,7664.5
P4-22,006,INS+,518,40083.70,38388.62,15985.38,15286.35,11115.6,17700.3,5435.2
P4-22,007,INS+,221,31460.09,51361.31,12546.28,20452.07,11115.6,17700.3,3101.5
P4-22,008,INS+,443,17483.28,61943.89,6972.33,24666.06,11115.6,17700.3,8104.8
P4-3A,001,INS+,68,25298.26,54575.88,10088.95,21732.11,N/A,N/A,
P4-3A,002,INS+,101,16142.06,52835.86,6437.45,21039.24,N/A,N/A,
P4-3A,003,INS+,95,27978.54,44333.37,11157.84,17653.55,N/A,N/A,
P4-3A,004,INS+,86,34567.24,34730.54,13785.41,13829.70,N/A,N/A,
P4-3A,005,INS+,136,13024.29,40370.18,5194.08,16075.40,N/A,N/A,
P4-3A,006,INS+,116,7700.03,31358.09,3070.77,12486.79,N/A,N/A,
P4-3A,007,INS+,121,23921.47,20531.89,9539.88,8175.80,N/A,N/A,
P4-3A,008,INS+,85,30819.40,10849.24,12290.78,4320.17,N/A,N/A,
P4-6A,001,INS+,120,13154.23,26340.54,5245.91,10488.80,4022.1,14545.1,4236.9
P4-6A,002,INS+,99,15048.90,15623.40,6001.50,6221.24,4022.1,14545.1,8556.0
P4-6A,003,INS+,83,15570.39,33649.99,6209.47,13399.43,4022.1,14545.1,2469.2
P4-6A,004,INS+,93,20407.23,15520.74,8138.40,6180.36,4022.1,14545.1,9322.7
P4-6A,005,INS+,104,26086.01,15267.97,10403.10,6079.71,4022.1,14545.1,10600.9
P4-6A,006,INS+,96,5333.12,41769.16,2126.85,16632.48,4022.1,14545.1,2819.4
P4-6A,007,INS+,89,12888.89,46609.24,5140.09,18559.80,4022.1,14545.1,4167.5
P4-6A,008,INS+,86,10135.18,50812.07,4041.91,20233.36,4022.1,14545.1,5688.3